Index Name,Date,Open,High,Low,Close,Data_source,Published_date,Updated_date
NIFTY SME EMERGE,17-Apr-25,NA,NA,NA,13645.91,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-Apr-25,NA,NA,NA,13542.43,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,15-Apr-25,NA,NA,NA,13548.09,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Apr-25,NA,NA,NA,13187.89,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Apr-25,NA,NA,NA,12900.27,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,08-Apr-25,NA,NA,NA,12899.2,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-Apr-25,NA,NA,NA,12631.99,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Apr-25,NA,NA,NA,13171.18,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Apr-25,NA,NA,NA,13395.22,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-Apr-25,NA,NA,NA,13103.43,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Apr-25,NA,NA,NA,12913.6,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,28-Mar-25,NA,NA,NA,12666.01,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Mar-25,NA,NA,NA,12574.19,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Mar-25,NA,NA,NA,12731.58,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Mar-25,NA,NA,NA,12848.13,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Mar-25,NA,NA,NA,13021.72,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,21-Mar-25,NA,NA,NA,12816.43,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Mar-25,NA,NA,NA,12577.45,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Mar-25,NA,NA,NA,12410.32,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Mar-25,NA,NA,NA,12076.52,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Mar-25,NA,NA,NA,11930.1,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Mar-25,NA,NA,NA,12194.48,NSE Indices,2016-2025,19-04-2025
